,Party,2019,2014,%2019,%2014,municipality
13,Turquoise,14,-,"0,34%",-,Ramillies
14,WALLONIE INSOUMISE,48,-,"1,15%",-,Ramillies
15,MG,-,2,-,"0,05%",Ramillies
16,DEBOUT LES BELGES,-,41,-,"1,04%",Ramillies
17,B.U.B.-Belg.Unie,-,16,-,"0,41%",Ramillies
18,R.W.F.,-,14,-,"0,36%",Ramillies
19,VLC,-,2,-,"0,05%",Ramillies
20,MOVE,-,23,-,"0,59%",Ramillies
21,NWA,-,6,-,"0,15%",Ramillies
22,NATION,-,18,-,"0,46%",Ramillies
0,ECOLO,4.870,2.672,"19,84%","10,33%",Braine-l'Alleud
1,CDH,1.941,2.717,"7,91%","10,51%",Braine-l'Alleud
2,MR,8.907,9.569,"36,29%","37,00%",Braine-l'Alleud
3,PARTI POPULAIRE,663,1.354,"2,70%","5,24%",Braine-l'Alleud
4,VLAAMS BELANG,162,-,"0,66%",-,Braine-l'Alleud
5,DéFI,1.784,-,"7,27%",-,Braine-l'Alleud
6,FDF,-,1.302,-,"5,03%",Braine-l'Alleud
7,PTB,1.522,-,"6,20%",-,Braine-l'Alleud
8,PTB-GO !,-,705,-,"2,73%",Braine-l'Alleud
9,LISTES DESTEXHE,716,-,"2,92%",-,Braine-l'Alleud
10,PS,3.337,6.355,"13,60%","24,57%",Braine-l'Alleud
11,LA DROITE,125,270,"0,51%","1,04%",Braine-l'Alleud
12,Collectif Citoyen,275,-,"1,12%",-,Braine-l'Alleud
13,Turquoise,57,-,"0,23%",-,Braine-l'Alleud
14,WALLONIE INSOUMISE,184,-,"0,75%",-,Braine-l'Alleud
15,MG,-,28,-,"0,11%",Braine-l'Alleud
16,DEBOUT LES BELGES,-,392,-,"1,52%",Braine-l'Alleud
17,B.U.B.-Belg.Unie,-,108,-,"0,42%",Braine-l'Alleud
18,R.W.F.,-,138,-,"0,53%",Braine-l'Alleud
19,VLC,-,16,-,"0,06%",Braine-l'Alleud
20,MOVE,-,33,-,"0,13%",Braine-l'Alleud
21,NWA,-,74,-,"0,29%",Braine-l'Alleud
22,NATION,-,129,-,"0,50%",Braine-l'Alleud
0,ECOLO,1.402,706,"19,34%","10,38%",Braine-le-Chateau
1,CDH,419,623,"5,78%","9,16%",Braine-le-Chateau
2,MR,2.327,3.276,"32,09%","48,18%",Braine-le-Chateau
3,PARTI POPULAIRE,238,225,"3,28%","3,31%",Braine-le-Chateau
4,VLAAMS BELANG,107,-,"1,48%",-,Braine-le-Chateau
5,DéFI,503,-,"6,94%",-,Braine-le-Chateau
6,FDF,-,446,-,"6,56%",Braine-le-Chateau
7,PTB,585,-,"8,07%",-,Braine-le-Chateau
8,PTB-GO !,-,159,-,"2,34%",Braine-le-Chateau
9,LISTES DESTEXHE,179,-,"2,47%",-,Braine-le-Chateau
10,PS,1.175,1.133,"16,20%","16,66%",Braine-le-Chateau
11,LA DROITE,74,52,"1,02%","0,76%",Braine-le-Chateau
12,Collectif Citoyen,134,-,"1,85%",-,Braine-le-Chateau
13,Turquoise,22,-,"0,30%",-,Braine-le-Chateau
14,WALLONIE INSOUMISE,86,-,"1,19%",-,Braine-le-Chateau
15,MG,-,5,-,"0,07%",Braine-le-Chateau
16,DEBOUT LES BELGES,-,75,-,"1,10%",Braine-le-Chateau
17,B.U.B.-Belg.Unie,-,19,-,"0,28%",Braine-le-Chateau
18,R.W.F.,-,27,-,"0,40%",Braine-le-Chateau
19,VLC,-,13,-,"0,19%",Braine-le-Chateau
20,MOVE,-,9,-,"0,13%",Braine-le-Chateau
21,NWA,-,8,-,"0,12%",Braine-le-Chateau
22,NATION,-,23,-,"0,34%",Braine-le-Chateau
0,ECOLO,968,478,"19,59%","11,12%",Ittre
1,CDH,462,422,"9,35%","9,82%",Ittre
2,MR,1.417,1.455,"28,67%","33,85%",Ittre
3,PARTI POPULAIRE,143,172,"2,89%","4,00%",Ittre
4,VLAAMS BELANG,37,-,"0,75%",-,Ittre
5,DéFI,241,-,"4,88%",-,Ittre
6,FDF,-,178,-,"4,14%",Ittre
7,PTB,372,-,"7,53%",-,Ittre
8,PTB-GO !,-,146,-,"3,40%",Ittre
9,LISTES DESTEXHE,126,-,"2,55%",-,Ittre
10,PS,1.013,1.252,"20,50%","29,13%",Ittre
11,LA DROITE,46,39,"0,93%","0,91%",Ittre
12,Collectif Citoyen,58,-,"1,17%",-,Ittre
13,Turquoise,16,-,"0,32%",-,Ittre
14,WALLONIE INSOUMISE,43,-,"0,87%",-,Ittre
15,MG,-,3,-,"0,07%",Ittre
16,DEBOUT LES BELGES,-,61,-,"1,42%",Ittre
17,B.U.B.-Belg.Unie,-,22,-,"0,51%",Ittre
18,R.W.F.,-,18,-,"0,42%",Ittre
19,VLC,-,3,-,"0,07%",Ittre
20,MOVE,-,7,-,"0,16%",Ittre
21,NWA,-,21,-,"0,49%",Ittre
22,NATION,-,21,-,"0,49%",Ittre
0,ECOLO,3.918,1.778,"20,43%","10,00%",Nivelles
1,CDH,1.147,1.858,"5,98%","10,45%",Nivelles
2,MR,5.903,6.479,"30,78%","36,43%",Nivelles
3,PARTI POPULAIRE,454,834,"2,37%","4,69%",Nivelles
4,VLAAMS BELANG,159,-,"0,83%",-,Nivelles
5,DéFI,1.066,-,"5,56%",-,Nivelles
6,FDF,-,901,-,"5,07%",Nivelles
7,PTB,1.506,-,"7,85%",-,Nivelles
8,PTB-GO !,-,559,-,"3,14%",Nivelles
9,LISTES DESTEXHE,352,-,"1,84%",-,Nivelles
10,PS,4.026,4.477,"21,00%","25,17%",Nivelles
11,LA DROITE,153,175,"0,80%","0,98%",Nivelles
12,Collectif Citoyen,255,-,"1,33%",-,Nivelles
13,Turquoise,58,-,"0,30%",-,Nivelles
14,WALLONIE INSOUMISE,178,-,"0,93%",-,Nivelles
15,MG,-,19,-,"0,11%",Nivelles
16,DEBOUT LES BELGES,-,356,-,"2,00%",Nivelles
17,B.U.B.-Belg.Unie,-,80,-,"0,45%",Nivelles
18,R.W.F.,-,106,-,"0,60%",Nivelles
19,VLC,-,18,-,"0,10%",Nivelles
20,MOVE,-,29,-,"0,16%",Nivelles
21,NWA,-,39,-,"0,22%",Nivelles
22,NATION,-,78,-,"0,44%",Nivelles
0,ECOLO,875,691,"13,96%","11,00%",Rebecq
1,CDH,327,723,"5,22%","11,51%",Rebecq
2,MR,1.543,2.055,"24,61%","32,71%",Rebecq
3,PARTI POPULAIRE,224,338,"3,57%","5,38%",Rebecq
4,VLAAMS BELANG,140,-,"2,23%",-,Rebecq
5,DéFI,338,-,"5,39%",-,Rebecq
6,FDF,-,343,-,"5,46%",Rebecq
7,PTB,801,-,"12,78%",-,Rebecq
8,PTB-GO !,-,224,-,"3,57%",Rebecq
9,LISTES DESTEXHE,125,-,"1,99%",-,Rebecq
10,PS,1.638,1.581,"26,13%","25,16%",Rebecq
11,LA DROITE,73,69,"1,16%","1,10%",Rebecq
12,Collectif Citoyen,72,-,"1,15%",-,Rebecq
13,Turquoise,17,-,"0,27%",-,Rebecq
14,WALLONIE INSOUMISE,96,-,"1,53%",-,Rebecq
15,MG,-,10,-,"0,16%",Rebecq
16,DEBOUT LES BELGES,-,118,-,"1,88%",Rebecq
17,B.U.B.-Belg.Unie,-,36,-,"0,57%",Rebecq
18,R.W.F.,-,38,-,"0,60%",Rebecq
19,VLC,-,3,-,"0,05%",Rebecq
20,MOVE,-,12,-,"0,19%",Rebecq
21,NWA,-,10,-,"0,16%",Rebecq
22,NATION,-,32,-,"0,51%",Rebecq
0,ECOLO,1.908,1.296,"14,16%","9,80%",Tubize
1,CDH,966,1.131,"7,17%","8,55%",Tubize
2,MR,2.281,5.845,"16,93%","44,20%",Tubize
3,PARTI POPULAIRE,581,485,"4,31%","3,67%",Tubize
4,VLAAMS BELANG,306,-,"2,27%",-,Tubize
5,DéFI,846,-,"6,28%",-,Tubize
6,FDF,-,747,-,"5,65%",Tubize
7,PTB,2.226,-,"16,52%",-,Tubize
8,PTB-GO !,-,306,-,"2,31%",Tubize
9,LISTES DESTEXHE,288,-,"2,14%",-,Tubize
10,PS,3.594,2.872,"26,67%","21,72%",Tubize
11,LA DROITE,124,144,"0,92%","1,09%",Tubize
12,Collectif Citoyen,134,-,"0,99%",-,Tubize
13,Turquoise,43,-,"0,32%",-,Tubize
14,WALLONIE INSOUMISE,177,-,"1,31%",-,Tubize
15,MG,-,3,-,"0,02%",Tubize
16,DEBOUT LES BELGES,-,193,-,"1,46%",Tubize
17,B.U.B.-Belg.Unie,-,31,-,"0,23%",Tubize
18,R.W.F.,-,50,-,"0,38%",Tubize
19,VLC,-,16,-,"0,12%",Tubize
20,MOVE,-,23,-,"0,17%",Tubize
21,NWA,-,28,-,"0,21%",Tubize
22,NATION,-,54,-,"0,41%",Tubize
0,ECOLO,2.978,1.480,"17,03%","9,30%",Waterloo
1,CDH,893,1.819,"5,11%","11,43%",Waterloo
2,MR,8.605,5.630,"49,20%","35,36%",Waterloo
3,PARTI POPULAIRE,313,915,"1,79%","5,75%",Waterloo
4,VLAAMS BELANG,141,-,"0,81%",-,Waterloo
5,DéFI,1.333,-,"7,62%",-,Waterloo
6,FDF,-,749,-,"4,70%",Waterloo
7,PTB,669,-,"3,82%",-,Waterloo
8,PTB-GO !,-,485,-,"3,05%",Waterloo
9,LISTES DESTEXHE,772,-,"4,41%",-,Waterloo
10,PS,1.382,4.028,"7,90%","25,30%",Waterloo
11,LA DROITE,87,180,"0,50%","1,13%",Waterloo
12,Collectif Citoyen,169,-,"0,97%",-,Waterloo
13,Turquoise,36,-,"0,21%",-,Waterloo
14,WALLONIE INSOUMISE,113,-,"0,65%",-,Waterloo
15,MG,-,23,-,"0,14%",Waterloo
16,DEBOUT LES BELGES,-,300,-,"1,88%",Waterloo
17,B.U.B.-Belg.Unie,-,78,-,"0,49%",Waterloo
18,R.W.F.,-,68,-,"0,43%",Waterloo
19,VLC,-,17,-,"0,11%",Waterloo
20,MOVE,-,28,-,"0,18%",Waterloo
21,NWA,-,38,-,"0,24%",Waterloo
22,NATION,-,83,-,"0,52%",Waterloo
0,ECOLO,1.300,671,"26,62%","14,50%",Chastre
1,CDH,337,495,"6,90%","10,69%",Chastre
2,MR,1.445,1.686,"29,59%","36,42%",Chastre
3,PARTI POPULAIRE,89,159,"1,82%","3,43%",Chastre
4,VLAAMS BELANG,21,-,"0,43%",-,Chastre
5,DéFI,323,-,"6,61%",-,Chastre
6,FDF,-,210,-,"4,54%",Chastre
7,PTB,361,-,"7,39%",-,Chastre
8,PTB-GO !,-,144,-,"3,11%",Chastre
9,LISTES DESTEXHE,95,-,"1,95%",-,Chastre
10,PS,780,1.071,"15,97%","23,14%",Chastre
11,LA DROITE,26,34,"0,53%","0,73%",Chastre
12,Collectif Citoyen,61,-,"1,25%",-,Chastre
13,Turquoise,9,-,"0,18%",-,Chastre
14,WALLONIE INSOUMISE,37,-,"0,76%",-,Chastre
15,MG,-,0,-,"0,00%",Chastre
16,DEBOUT LES BELGES,-,82,-,"1,77%",Chastre
17,B.U.B.-Belg.Unie,-,21,-,"0,45%",Chastre
18,R.W.F.,-,19,-,"0,41%",Chastre
19,VLC,-,4,-,"0,09%",Chastre
20,MOVE,-,8,-,"0,17%",Chastre
21,NWA,-,5,-,"0,11%",Chastre
22,NATION,-,20,-,"0,43%",Chastre
0,ECOLO,1.187,695,"24,52%","15,41%",Mont-Saint-Guibert
1,CDH,399,523,"8,24%","11,59%",Mont-Saint-Guibert
2,MR,1.565,1.645,"32,33%","36,47%",Mont-Saint-Guibert
3,PARTI POPULAIRE,96,183,"1,98%","4,06%",Mont-Saint-Guibert
4,VLAAMS BELANG,25,-,"0,52%",-,Mont-Saint-Guibert
5,DéFI,278,-,"5,74%",-,Mont-Saint-Guibert
6,FDF,-,210,-,"4,66%",Mont-Saint-Guibert
7,PTB,366,-,"7,56%",-,Mont-Saint-Guibert
8,PTB-GO !,-,116,-,"2,57%",Mont-Saint-Guibert
9,LISTES DESTEXHE,82,-,"1,69%",-,Mont-Saint-Guibert
10,PS,698,931,"14,42%","20,64%",Mont-Saint-Guibert
11,LA DROITE,17,64,"0,35%","1,42%",Mont-Saint-Guibert
12,Collectif Citoyen,82,-,"1,69%",-,Mont-Saint-Guibert
13,Turquoise,11,-,"0,23%",-,Mont-Saint-Guibert
14,WALLONIE INSOUMISE,35,-,"0,72%",-,Mont-Saint-Guibert
15,MG,-,6,-,"0,13%",Mont-Saint-Guibert
16,DEBOUT LES BELGES,-,49,-,"1,09%",Mont-Saint-Guibert
17,B.U.B.-Belg.Unie,-,25,-,"0,55%",Mont-Saint-Guibert
18,R.W.F.,-,27,-,"0,60%",Mont-Saint-Guibert
19,VLC,-,1,-,"0,02%",Mont-Saint-Guibert
20,MOVE,-,4,-,"0,09%",Mont-Saint-Guibert
21,NWA,-,11,-,"0,24%",Mont-Saint-Guibert
22,NATION,-,21,-,"0,47%",Mont-Saint-Guibert
0,ECOLO,954,526,"16,23%","9,76%",Perwez
1,CDH,842,1.001,"14,33%","18,58%",Perwez
2,MR,1.839,1.876,"31,29%","34,82%",Perwez
3,PARTI POPULAIRE,149,240,"2,54%","4,46%",Perwez
4,VLAAMS BELANG,39,-,"0,66%",-,Perwez
5,DéFI,280,-,"4,76%",-,Perwez
6,FDF,-,206,-,"3,82%",Perwez
7,PTB,430,-,"7,32%",-,Perwez
8,PTB-GO !,-,153,-,"2,84%",Perwez
9,LISTES DESTEXHE,125,-,"2,13%",-,Perwez
10,PS,1.022,1.208,"17,39%","22,42%",Perwez
11,LA DROITE,44,47,"0,75%","0,87%",Perwez
12,Collectif Citoyen,101,-,"1,72%",-,Perwez
13,Turquoise,14,-,"0,24%",-,Perwez
14,WALLONIE INSOUMISE,38,-,"0,65%",-,Perwez
15,MG,-,3,-,"0,06%",Perwez
16,DEBOUT LES BELGES,-,66,-,"1,23%",Perwez
17,B.U.B.-Belg.Unie,-,11,-,"0,20%",Perwez
18,R.W.F.,-,17,-,"0,32%",Perwez
19,VLC,-,1,-,"0,02%",Perwez
20,MOVE,-,13,-,"0,24%",Perwez
21,NWA,-,6,-,"0,11%",Perwez
22,NATION,-,13,-,"0,24%",Perwez
0,ECOLO,947,546,"20,69%","12,89%",Walhain
1,CDH,698,610,"15,25%","14,40%",Walhain
2,MR,1.336,1.501,"29,19%","35,44%",Walhain
3,PARTI POPULAIRE,68,134,"1,49%","3,16%",Walhain
4,VLAAMS BELANG,25,-,"0,55%",-,Walhain
5,DéFI,225,-,"4,92%",-,Walhain
6,FDF,-,159,-,"3,75%",Walhain
7,PTB,247,-,"5,40%",-,Walhain
8,PTB-GO !,-,95,-,"2,24%",Walhain
9,LISTES DESTEXHE,153,-,"3,34%",-,Walhain
10,PS,769,1.081,"16,80%","25,53%",Walhain
11,LA DROITE,28,24,"0,61%","0,57%",Walhain
12,Collectif Citoyen,50,-,"1,09%",-,Walhain
13,Turquoise,5,-,"0,11%",-,Walhain
14,WALLONIE INSOUMISE,26,-,"0,57%",-,Walhain
15,MG,-,0,-,"0,00%",Walhain
16,DEBOUT LES BELGES,-,30,-,"0,71%",Walhain
17,B.U.B.-Belg.Unie,-,19,-,"0,45%",Walhain
18,R.W.F.,-,14,-,"0,33%",Walhain
19,VLC,-,1,-,"0,02%",Walhain
20,MOVE,-,4,-,"0,09%",Walhain
21,NWA,-,8,-,"0,19%",Walhain
22,NATION,-,9,-,"0,21%",Walhain
0,ECOLO,1.554,925,"20,48%","12,47%",Chaumont-Gistoux
1,CDH,574,774,"7,57%","10,43%",Chaumont-Gistoux
2,MR,3.161,3.495,"41,66%","47,11%",Chaumont-Gistoux
3,PARTI POPULAIRE,151,264,"1,99%","3,56%",Chaumont-Gistoux
4,VLAAMS BELANG,39,-,"0,51%",-,Chaumont-Gistoux
5,DéFI,543,-,"7,16%",-,Chaumont-Gistoux
6,FDF,-,365,-,"4,92%",Chaumont-Gistoux
7,PTB,373,-,"4,92%",-,Chaumont-Gistoux
8,PTB-GO !,-,161,-,"2,17%",Chaumont-Gistoux
9,LISTES DESTEXHE,230,-,"3,03%",-,Chaumont-Gistoux
10,PS,722,1.196,"9,52%","16,12%",Chaumont-Gistoux
11,LA DROITE,33,56,"0,43%","0,75%",Chaumont-Gistoux
12,Collectif Citoyen,131,-,"1,73%",-,Chaumont-Gistoux
13,Turquoise,28,-,"0,37%",-,Chaumont-Gistoux
14,WALLONIE INSOUMISE,48,-,"0,63%",-,Chaumont-Gistoux
15,MG,-,2,-,"0,03%",Chaumont-Gistoux
16,DEBOUT LES BELGES,-,72,-,"0,97%",Chaumont-Gistoux
17,B.U.B.-Belg.Unie,-,31,-,"0,42%",Chaumont-Gistoux
18,R.W.F.,-,32,-,"0,43%",Chaumont-Gistoux
19,VLC,-,5,-,"0,07%",Chaumont-Gistoux
20,MOVE,-,15,-,"0,20%",Chaumont-Gistoux
21,NWA,-,10,-,"0,13%",Chaumont-Gistoux
22,NATION,-,16,-,"0,22%",Chaumont-Gistoux
0,ECOLO,1.705,826,"26,28%","15,96%",Court-Saint-Etienne
1,CDH,477,599,"7,35%","11,57%",Court-Saint-Etienne
2,MR,1.804,1.732,"27,81%","33,47%",Court-Saint-Etienne
3,PARTI POPULAIRE,186,215,"2,87%","4,15%",Court-Saint-Etienne
4,VLAAMS BELANG,30,-,"0,46%",-,Court-Saint-Etienne
5,DéFI,356,-,"5,49%",-,Court-Saint-Etienne
6,FDF,-,184,-,"3,56%",Court-Saint-Etienne
7,PTB,567,-,"8,74%",-,Court-Saint-Etienne
8,PTB-GO !,-,190,-,"3,67%",Court-Saint-Etienne
9,LISTES DESTEXHE,110,-,"1,70%",-,Court-Saint-Etienne
10,PS,1.028,1.230,"15,85%","23,77%",Court-Saint-Etienne
11,LA DROITE,36,57,"0,55%","1,10%",Court-Saint-Etienne
12,Collectif Citoyen,119,-,"1,83%",-,Court-Saint-Etienne
13,Turquoise,15,-,"0,23%",-,Court-Saint-Etienne
14,WALLONIE INSOUMISE,54,-,"0,83%",-,Court-Saint-Etienne
15,MG,-,8,-,"0,15%",Court-Saint-Etienne
16,DEBOUT LES BELGES,-,67,-,"1,29%",Court-Saint-Etienne
17,B.U.B.-Belg.Unie,-,16,-,"0,31%",Court-Saint-Etienne
18,R.W.F.,-,20,-,"0,39%",Court-Saint-Etienne
19,VLC,-,2,-,"0,04%",Court-Saint-Etienne
20,MOVE,-,7,-,"0,14%",Court-Saint-Etienne
21,NWA,-,9,-,"0,17%",Court-Saint-Etienne
22,NATION,-,13,-,"0,25%",Court-Saint-Etienne
0,ECOLO,1.603,868,"18,80%","11,64%",Grez-Doiceau
1,CDH,696,724,"8,16%","9,71%",Grez-Doiceau
2,MR,3.267,3.480,"38,31%","46,68%",Grez-Doiceau
3,PARTI POPULAIRE,189,193,"2,22%","2,59%",Grez-Doiceau
4,VLAAMS BELANG,95,-,"1,11%",-,Grez-Doiceau
5,DéFI,502,-,"5,89%",-,Grez-Doiceau
6,FDF,-,325,-,"4,36%",Grez-Doiceau
7,PTB,538,-,"6,31%",-,Grez-Doiceau
8,PTB-GO !,-,181,-,"2,43%",Grez-Doiceau
9,LISTES DESTEXHE,227,-,"2,66%",-,Grez-Doiceau
10,PS,1.137,1.398,"13,33%","18,75%",Grez-Doiceau
11,LA DROITE,50,78,"0,59%","1,05%",Grez-Doiceau
12,Collectif Citoyen,120,-,"1,41%",-,Grez-Doiceau
13,Turquoise,26,-,"0,30%",-,Grez-Doiceau
14,WALLONIE INSOUMISE,77,-,"0,90%",-,Grez-Doiceau
15,MG,-,5,-,"0,07%",Grez-Doiceau
16,DEBOUT LES BELGES,-,88,-,"1,18%",Grez-Doiceau
17,B.U.B.-Belg.Unie,-,12,-,"0,16%",Grez-Doiceau
18,R.W.F.,-,35,-,"0,47%",Grez-Doiceau
19,VLC,-,9,-,"0,12%",Grez-Doiceau
20,MOVE,-,24,-,"0,32%",Grez-Doiceau
21,NWA,-,12,-,"0,16%",Grez-Doiceau
22,NATION,-,23,-,"0,31%",Grez-Doiceau
0,ECOLO,855,513,"20,70%","11,16%",La Hulpe
1,CDH,274,436,"6,63%","9,49%",La Hulpe
2,MR,1.769,2.163,"42,82%","47,07%",La Hulpe
3,PARTI POPULAIRE,69,135,"1,67%","2,94%",La Hulpe
4,VLAAMS BELANG,18,-,"0,44%",-,La Hulpe
5,DéFI,279,-,"6,75%",-,La Hulpe
6,FDF,-,184,-,"4,00%",La Hulpe
7,PTB,157,-,"3,80%",-,La Hulpe
8,PTB-GO !,-,108,-,"2,35%",La Hulpe
9,LISTES DESTEXHE,143,-,"3,46%",-,La Hulpe
10,PS,443,887,"10,72%","19,30%",La Hulpe
11,LA DROITE,15,37,"0,36%","0,81%",La Hulpe
12,Collectif Citoyen,84,-,"2,03%",-,La Hulpe
13,Turquoise,9,-,"0,22%",-,La Hulpe
14,WALLONIE INSOUMISE,16,-,"0,39%",-,La Hulpe
15,MG,-,2,-,"0,04%",La Hulpe
16,DEBOUT LES BELGES,-,51,-,"1,11%",La Hulpe
17,B.U.B.-Belg.Unie,-,29,-,"0,63%",La Hulpe
18,R.W.F.,-,15,-,"0,33%",La Hulpe
19,VLC,-,3,-,"0,07%",La Hulpe
20,MOVE,-,10,-,"0,22%",La Hulpe
21,NWA,-,9,-,"0,20%",La Hulpe
22,NATION,-,13,-,"0,28%",La Hulpe
0,ECOLO,1.152,658,"13,26%","8,19%",Lasne
1,CDH,347,533,"4,00%","6,63%",Lasne
2,MR,5.271,5.126,"60,69%","63,79%",Lasne
3,PARTI POPULAIRE,120,224,"1,38%","2,79%",Lasne
4,VLAAMS BELANG,40,-,"0,46%",-,Lasne
5,DéFI,544,-,"6,26%",-,Lasne
6,FDF,-,387,-,"4,82%",Lasne
7,PTB,181,-,"2,08%",-,Lasne
8,PTB-GO !,-,106,-,"1,32%",Lasne
9,LISTES DESTEXHE,421,-,"4,85%",-,Lasne
10,PS,469,800,"5,40%","9,96%",Lasne
11,LA DROITE,27,44,"0,31%","0,55%",Lasne
12,Collectif Citoyen,71,-,"0,82%",-,Lasne
13,Turquoise,12,-,"0,14%",-,Lasne
14,WALLONIE INSOUMISE,30,-,"0,35%",-,Lasne
15,MG,-,2,-,"0,02%",Lasne
16,DEBOUT LES BELGES,-,67,-,"0,83%",Lasne
17,B.U.B.-Belg.Unie,-,28,-,"0,35%",Lasne
18,R.W.F.,-,26,-,"0,32%",Lasne
19,VLC,-,19,-,"0,24%",Lasne
20,MOVE,-,2,-,"0,02%",Lasne
21,NWA,-,8,-,"0,10%",Lasne
22,NATION,-,6,-,"0,07%",Lasne
0,ECOLO,5.739,3.450,"31,05%","18,25%",Ottignies-Louvain-la-Neuve
1,CDH,1.757,2.898,"9,51%","15,33%",Ottignies-Louvain-la-Neuve
2,MR,4.598,6.357,"24,88%","33,62%",Ottignies-Louvain-la-Neuve
3,PARTI POPULAIRE,358,564,"1,94%","2,98%",Ottignies-Louvain-la-Neuve
4,VLAAMS BELANG,78,-,"0,42%",-,Ottignies-Louvain-la-Neuve
5,DéFI,1.024,-,"5,54%",-,Ottignies-Louvain-la-Neuve
6,FDF,-,761,-,"4,02%",Ottignies-Louvain-la-Neuve
7,PTB,1.495,-,"8,09%",-,Ottignies-Louvain-la-Neuve
8,PTB-GO !,-,706,-,"3,73%",Ottignies-Louvain-la-Neuve
9,LISTES DESTEXHE,302,-,"1,63%",-,Ottignies-Louvain-la-Neuve
10,PS,2.537,3.503,"13,73%","18,53%",Ottignies-Louvain-la-Neuve
11,LA DROITE,53,147,"0,29%","0,78%",Ottignies-Louvain-la-Neuve
12,Collectif Citoyen,363,-,"1,96%",-,Ottignies-Louvain-la-Neuve
13,Turquoise,36,-,"0,19%",-,Ottignies-Louvain-la-Neuve
14,WALLONIE INSOUMISE,143,-,"0,77%",-,Ottignies-Louvain-la-Neuve
15,MG,-,18,-,"0,10%",Ottignies-Louvain-la-Neuve
16,DEBOUT LES BELGES,-,243,-,"1,29%",Ottignies-Louvain-la-Neuve
17,B.U.B.-Belg.Unie,-,66,-,"0,35%",Ottignies-Louvain-la-Neuve
18,R.W.F.,-,83,-,"0,44%",Ottignies-Louvain-la-Neuve
19,VLC,-,16,-,"0,08%",Ottignies-Louvain-la-Neuve
20,MOVE,-,29,-,"0,15%",Ottignies-Louvain-la-Neuve
21,NWA,-,20,-,"0,11%",Ottignies-Louvain-la-Neuve
22,NATION,-,47,-,"0,25%",Ottignies-Louvain-la-Neuve
0,ECOLO,3.064,1.905,"22,48%","13,42%",Rixensart
1,CDH,992,1.610,"7,28%","11,34%",Rixensart
2,MR,5.243,5.910,"38,46%","41,63%",Rixensart
3,PARTI POPULAIRE,264,439,"1,94%","3,09%",Rixensart
4,VLAAMS BELANG,69,-,"0,51%",-,Rixensart
5,DéFI,984,-,"7,22%",-,Rixensart
6,FDF,-,899,-,"6,33%",Rixensart
7,PTB,641,-,"4,70%",-,Rixensart
8,PTB-GO !,-,318,-,"2,24%",Rixensart
9,LISTES DESTEXHE,342,-,"2,51%",-,Rixensart
10,PS,1.635,2.592,"11,99%","18,26%",Rixensart
11,LA DROITE,52,108,"0,38%","0,76%",Rixensart
12,Collectif Citoyen,198,-,"1,45%",-,Rixensart
13,Turquoise,35,-,"0,26%",-,Rixensart
14,WALLONIE INSOUMISE,112,-,"0,82%",-,Rixensart
15,MG,-,4,-,"0,03%",Rixensart
16,DEBOUT LES BELGES,-,145,-,"1,02%",Rixensart
17,B.U.B.-Belg.Unie,-,107,-,"0,75%",Rixensart
18,R.W.F.,-,74,-,"0,52%",Rixensart
19,VLC,-,20,-,"0,14%",Rixensart
20,MOVE,-,16,-,"0,11%",Rixensart
21,NWA,-,20,-,"0,14%",Rixensart
22,NATION,-,31,-,"0,22%",Rixensart
0,ECOLO,3.838,2.003,"19,05%","9,97%",Wavre
1,CDH,1.416,1.823,"7,03%","9,07%",Wavre
2,MR,7.506,9.551,"37,26%","47,54%",Wavre
3,PARTI POPULAIRE,521,650,"2,59%","3,24%",Wavre
4,VLAAMS BELANG,112,-,"0,56%",-,Wavre
5,DéFI,1.334,-,"6,62%",-,Wavre
6,FDF,-,1.016,-,"5,06%",Wavre
7,PTB,1.557,-,"7,73%",-,Wavre
8,PTB-GO !,-,464,-,"2,31%",Wavre
9,LISTES DESTEXHE,515,-,"2,56%",-,Wavre
10,PS,2.767,3.714,"13,74%","18,49%",Wavre
11,LA DROITE,111,266,"0,55%","1,32%",Wavre
12,Collectif Citoyen,254,-,"1,26%",-,Wavre
13,Turquoise,60,-,"0,30%",-,Wavre
14,WALLONIE INSOUMISE,154,-,"0,76%",-,Wavre
15,MG,-,9,-,"0,04%",Wavre
16,DEBOUT LES BELGES,-,262,-,"1,30%",Wavre
17,B.U.B.-Belg.Unie,-,68,-,"0,34%",Wavre
18,R.W.F.,-,106,-,"0,53%",Wavre
19,VLC,-,11,-,"0,05%",Wavre
20,MOVE,-,25,-,"0,12%",Wavre
21,NWA,-,22,-,"0,11%",Wavre
22,NATION,-,100,-,"0,50%",Wavre
0,Open Vld,1.341,1.479,"10,11%","11,36%",Sint-Gillis-Waas
1,N-VA,4.148,4.974,"31,26%","38,22%",Sint-Gillis-Waas
2,VLAAMS BELANG,3.139,984,"23,65%","7,56%",Sint-Gillis-Waas
3,CD&V,1.911,2.875,"14,40%","22,09%",Sint-Gillis-Waas
4,PVDA,564,-,"4,25%",-,Sint-Gillis-Waas
5,PVDA+,-,285,-,"2,19%",Sint-Gillis-Waas
6,GROEN,1.111,1.120,"8,37%","8,61%",Sint-Gillis-Waas
7,sp.a,893,1.125,"6,73%","8,64%",Sint-Gillis-Waas
8,DierAnimal,118,-,"0,89%",-,Sint-Gillis-Waas
9,de coöperatie,11,-,"0,08%",-,Sint-Gillis-Waas
